strategy,symbol,side,entry_ts,exit_ts,entry,exit,qty,pnl,stop,target
VWAPReversion,NVDA,short,2025-09-22 12:25:00,2025-09-22 12:25:00,181.38,181.83110282142857,1108,-499.8219261428636,181.83110282142857,177.63818555288765
VWAPReversion,NVDA,short,2025-09-22 12:33:00,2025-09-22 12:34:00,182.92171,183.34479148214285,1181,-499.6592304107204,183.34479148214285,178.1729837983246
VWAPReversion,NVDA,short,2025-09-22 12:35:00,2025-09-22 12:35:00,183.080002,183.51342823214287,1153,-499.7404456607221,183.51342823214287,178.32940612075228
VWAPReversion,NVDA,short,2025-09-22 12:38:00,2025-09-22 12:43:00,183.22,183.6159265267857,1262,-499.6592768035542,183.6159265267857,178.49052782208688
VWAPReversion,NVDA,short,2025-09-22 12:39:00,2025-09-22 12:41:00,183.17,183.55624670535713,1294,-499.80323673213644,183.55624670535713,178.5389164365706
VWAPReversion,NVDA,short,2025-09-22 12:40:00,2025-09-22 12:41:00,183.12,183.5062408125,1294,-499.7956113750076,183.5062408125,178.57855247979808
VWAPReversion,NVDA,short,2025-09-22 12:42:00,2025-09-22 12:43:00,183.17999,183.55487291964286,1333,-499.71893188392886,183.55487291964286,178.67292278851053
VWAPReversion,NVDA,short,2025-09-22 12:44:00,2025-09-22 12:54:00,183.515,183.88944411607142,1335,-499.88289495535935,183.88944411607142,178.75834592629687
VWAPReversion,NVDA,short,2025-09-22 12:45:00,2025-09-22 12:52:00,183.23511,183.61035699107143,1332,-499.82899210715186,183.61035699107143,178.79532777862468
VWAPReversion,NVDA,short,2025-09-22 12:46:00,2025-09-22 12:50:00,183.044998,183.41426733035715,1354,-499.9906733035891,183.41426733035715,178.82418893121334
VWAPReversion,NVDA,short,2025-09-22 12:47:00,2025-09-22 12:50:00,182.9753,183.3412506,1366,-499.88851959998743,183.3412506,178.8520311951415
VWAPReversion,NVDA,short,2025-09-22 12:48:00,2025-09-22 12:50:00,182.9001,183.2659002,1366,-499.68307319999366,183.2659002,178.89129776116883
VWAPReversion,NVDA,short,2025-09-22 12:51:00,2025-09-22 12:53:00,183.41,183.77682,1363,-499.9756599999863,183.77682,178.9771847175907
VWAPReversion,NVDA,short,2025-09-22 12:56:00,2025-09-22 12:56:00,184.17,184.53833999999998,1357,-499.8373799999854,184.53833999999998,179.2395410591254
VWAPReversion,NVDA,short,2025-09-22 12:57:00,2025-09-23 10:00:00,184.12,179.28372290343066,1357,6562.828020044604,184.48824,179.28372290343066
VWAPReversion,NVDA,short,2025-09-22 12:58:00,2025-09-23 10:00:00,184.089996,179.31384078929267,1358,6486.018776140573,184.458175992,179.31384078929267
VWAPReversion,NVDA,short,2025-09-22 12:59:00,2025-09-23 10:00:00,183.84,179.34384247598936,1359,6110.278075130462,184.20768,179.34384247598936
VWAPReversion,NVDA,short,2025-09-22 13:00:00,2025-09-23 09:59:00,183.785,179.36924661819586,1360,6005.424599253627,184.15257,179.36924661819586
VWAPReversion,NVDA,short,2025-09-22 13:01:00,2025-09-22 13:01:00,183.42,183.78683999999998,1362,-499.63607999999493,183.78683999999998,179.39424150354185
VWAPReversion,NVDA,short,2025-09-22 13:06:00,2025-09-23 09:58:00,183.72501,179.48226918750115,1360,5770.127504998438,184.09246002,179.48226918750115
VWAPReversion,NVDA,short,2025-09-22 13:08:00,2025-09-23 09:58:00,183.75,179.53377070039315,1360,5734.071847465319,184.1175,179.53377070039315
VWAPReversion,NVDA,short,2025-09-22 13:09:00,2025-09-23 09:58:00,183.75,179.54833558318072,1360,5714.263606874227,184.1175,179.54833558318072
VWAPReversion,NVDA,short,2025-09-22 13:10:00,2025-09-22 13:10:00,183.42999,183.79684998,1362,-499.66329275998197,183.79684998,179.5647475354615
VWAPReversion,NVDA,short,2025-09-22 13:13:00,2025-09-22 13:50:00,183.19,183.55638,1364,-499.7423199999896,183.55638,179.61135580665052
VWAPReversion,NVDA,short,2025-09-22 13:14:00,2025-09-22 13:48:00,183.125,183.49125,1365,-499.9312500000109,183.49125,179.62230774440494
VWAPReversion,NVDA,short,2025-09-22 13:15:00,2025-09-22 13:15:00,182.69,183.05537999999999,1368,-499.83983999998304,183.05537999999999,179.64535730827652
VWAPReversion,NVDA,short,2025-09-22 13:16:00,2025-09-22 13:21:00,182.67999,183.04534998,1368,-499.81245263999153,183.04534998,179.66005553324703
VWAPReversion,NVDA,short,2025-09-22 13:18:00,2025-09-22 13:20:00,182.565,182.93013,1369,-499.86296999999115,182.93013,179.68320795658207
VWAPReversion,NVDA,short,2025-09-22 13:23:00,2025-09-22 13:48:00,183.105,183.47120999999999,1365,-499.87664999999356,183.47120999999999,179.74390946253388
VWAPReversion,NVDA,short,2025-09-22 13:26:00,2025-09-22 13:51:00,183.215,183.58143,1364,-499.81052000001125,183.58143,179.7748379932678
VWAPReversion,NVDA,short,2025-09-22 13:27:00,2025-09-22 13:48:00,183.12,183.48624,1365,-499.91760000000653,183.48624,179.78258664539294
VWAPReversion,NVDA,short,2025-09-22 13:28:00,2025-09-22 13:48:00,183.105,183.47120999999999,1365,-499.87664999999356,183.47120999999999,179.79206383416147
VWAPReversion,NVDA,short,2025-09-22 13:29:00,2025-09-22 13:48:00,182.995,183.36099000000002,1366,-499.9423400000146,183.36099000000002,179.79958350675017
VWAPReversion,NVDA,short,2025-09-22 13:30:00,2025-09-22 13:45:00,182.78999,183.15556998,1367,-499.7478326600093,183.15556998,179.8067698751751
VWAPReversion,NVDA,short,2025-09-22 13:32:00,2025-09-22 13:43:00,182.685,183.05037000000002,1368,-499.8261600000176,183.05037000000002,179.8213053907577
VWAPReversion,NVDA,short,2025-09-22 13:33:00,2025-09-22 13:37:00,182.39999,182.76478998,1370,-499.7759725999816,182.76478998,179.83271478625522
VWAPReversion,NVDA,short,2025-09-22 13:35:00,2025-09-22 13:38:00,182.5,182.865,1369,-499.68500000001245,182.865,179.84523033354768
